,마명,기록,거리,일자,습도,S1화롱,G3화롱,G1화롱,성별,나이,부중,기수,훈련량(분),새기록
11373,신기명장,1:13.6,1000,2014-09-05,7,15,44.6,15.9,암,4,55.0,김대연,123,73.6
11374,신기명장,1:11.6,1000,2015-02-07,14,16,42.6,14.8,암,4,54.0,한영민,123,71.6
11375,신기명장,1:13.1,1000,2015-03-13,6,16,43.4,14.9,암,4,54.0,한영민,123,73.1
11376,신기명장,1:10.0,1000,2015-10-02,9,16,41.3,14.4,암,4,54.0,김태준,123,70.0
11377,신기명장,1:13.5,1000,2014-12-12,16,16,43.7,15.3,암,4,55.0,한영민,123,73.5
11378,신기명장,1:10.5,1000,2015-04-18,9,16,40.2,13.2,암,4,54.0,한영민,123,70.5
11379,신기명장,1:26.5,1200,2015-05-16,9,16,43.5,15.2,암,4,54.0,한영민,123,86.5
11380,신기명장,1:26.7,1200,2016-08-06,10,16,43.8,16.0,암,4,55.0,문현진,868,86.7
11381,신기명장,1:26.2,1200,2016-04-29,12,16,43.0,15.3,암,4,55.0,문현진,906,86.2
11382,신기명장,1:41.6,1400,2016-10-08,20,15,43.5,15.2,암,4,59.0,장우성,524,101.6
11383,신기명장,1:41.6,1400,2016-05-13,6,15,44.0,15.7,암,4,52.0,안득수,781,101.6
11384,신기명장,1:45.3,1400,2015-10-30,8,17,44.3,15.8,암,4,55.5,김태준,123,105.3
11385,신기명장,1:58.3,1610,2016-11-18,8,16,43.3,14.8,암,4,55.5,권동석,666,118.3
11386,신기명장,1:57.1,1610,2016-09-24,5,16,41.9,14.0,암,4,51.5,문현진,660,117.1
11387,신기명장,2:07.5,1700,2016-01-09,11,16,42.8,14.7,암,4,50.0,박준호,654,127.5
11388,신기명장,2:04.8,1700,2016-08-20,7,15,42.3,14.2,암,4,51.0,문현진,866,124.8
11389,신기명장,2:08.9,1700,2016-12-30,10,15,46.4,16.3,암,4,55.0,권동석,1229,128.9
11390,신기술,1:08.4,900,2014-04-12,4,16,45.6,16.4,암,3,54.0,김주희,123,68.4
11391,신기술,1:07.0,900,2014-05-23,5,16,43.9,15.2,암,3,55.0,원유일,123,67.0
11392,신기술,1:11.8,900,2014-03-14,12,16,48.5,17.8,암,3,54.0,강성,123,71.8
11393,신대공원,1:04.6,900,2018-09-08,12,16,42.1,14.9,수,2,51.0,김재원,635,64.6
11394,신대공원,1:04.7,900,2018-08-10,6,16,41.7,14.3,수,2,56.0,김대연,374,64.7
11395,신대공원,1:07.1,900,2018-07-07,12,17,43.3,14.5,수,2,56.0,김대연,878,67.1
11396,신대부,1:04.0,900,2017-08-26,6,16,41.8,13.9,수,2,56.0,곽용남,1161,64.0
11397,신도시,1:11.3,900,2014-03-22,4,16,48.7,19.3,수,3,50.0,김경휴,123,71.3
11398,신도시,1:12.6,900,2014-01-11,20,16,49.6,19.8,수,3,54.0,장우성,123,72.6
11399,신보배,1:05.7,900,2014-08-23,9,16,42.0,14.3,암,3,55.0,문성호,123,65.7
11400,신보배,1:09.1,900,2014-06-21,6,16,45.7,15.4,암,3,55.0,원유일,123,69.1
11401,신비낭자,1:05.6,900,2019-06-21,5,16,43.2,15.2,암,3,54.0,배성아,1104,65.6
11402,신비로,1:06.2,800,2017-03-11,6,18,48.5,17.3,암,4,53.5,조희원,791,66.2
11403,신비로,1:08.8,800,2016-10-15,5,18,50.6,17.3,암,4,55.0,안득수,513,68.8
11404,신비로,1:08.6,800,2016-05-21,3,18,51.0,18.3,암,4,55.0,나유나,719,68.6
11405,신비로,1:10.0,800,2016-05-13,6,19,51.4,16.4,암,4,54.0,안득수,649,70.0
11406,신비로,1:21.6,900,2017-02-04,10,18,54.6,19.7,암,4,55.0,조희원,301,81.6
11407,신비소녀,1:08.5,900,2014-12-06,20,17,44.6,15.5,암,3,55.0,한영민,123,68.5
11408,신비소녀,1:07.9,900,2014-07-19,5,16,44.9,16.3,암,3,55.0,한영민,123,67.9
11409,신비요정,1:14.8,800,2017-05-05,14,19,55.4,19.6,암,4,55.0,문성호,439,74.8
11410,신비의힘,1:07.7,900,2016-11-19,20,16,44.3,15.8,수,3,55.0,김경훈,1151,67.7
11411,신비의힘,1:05.5,900,2016-12-23,18,15,43.7,16.4,수,3,51.0,김한남,872,65.5
11412,신비주의,1:10.7,900,2016-08-05,7,16,47.8,18.1,수,3,55.0,유미라,997,70.7
11413,신새벽,1:05.0,800,2017-07-21,6,18,47.1,16.8,거,7,51.0,임재광,719,65.0
11414,신새벽,1:09.8,800,2016-06-11,5,18,51.8,18.6,거,7,56.0,원유일,1150,69.8
11415,신새벽,1:08.3,800,2016-09-03,13,18,50.7,18.5,거,7,56.0,원유일,1209,68.3
11416,신새벽,1:09.1,800,2017-01-13,10,18,51.3,18.5,거,7,51.0,임재광,787,69.1
11417,신새벽,1:08.9,800,2016-12-10,3,18,50.6,17.9,거,7,53.0,원유일,1242,68.9
11418,신새벽,1:11.3,800,2016-04-30,7,19,52.7,18.9,거,7,56.0,문성호,948,71.3
11419,신새벽,1:09.5,800,2016-03-11,9,18,51.7,18.0,거,7,54.0,원유일,1363,69.5
11420,신새벽,1:07.6,800,2017-03-04,5,18,49.5,17.0,거,7,50.0,임재광,928,67.6
11421,신새벽,1:06.4,800,2018-09-15,14,18,48.7,16.7,거,7,57.0,안득수,1475,66.4
11422,신새벽,1:08.1,800,2017-04-01,15,18,50.1,18.1,거,7,53.5,임재광,1216,68.1
11423,신새벽,1:09.6,800,2016-07-30,5,18,51.9,18.1,거,7,56.0,문성호,800,69.6
11424,신새벽,1:17.8,900,2018-06-08,6,17,52.4,18.5,거,7,51.0,임재광,796,77.8
11425,신새벽,1:18.8,900,2018-03-23,12,17,53.3,19.6,거,7,51.0,임재광,514,78.8
11426,신새벽,1:18.2,900,2019-07-12,10,18,51.4,18.1,거,7,60.0,권진영,663,78.2
11427,신새벽,1:19.7,900,2018-10-12,6,18,53.2,18.9,거,7,56.5,이소연,1328,79.7
11428,신새벽,1:17.0,900,2017-04-15,7,18,50.5,17.3,거,7,53.0,임재광,746,77.0
11429,신새벽,1:19.3,900,2018-02-09,20,18,52.8,18.6,거,7,54.0,안득수,638,79.3
11430,신새벽,1:18.1,900,2018-09-08,12,18,51.5,18.2,거,7,55.0,임재광,746,78.1
11431,신새벽,1:17.0,900,2019-08-10,4,18,50.9,17.3,거,7,54.0,임재광,1692,77.0
11432,신새벽,1:17.5,900,2018-05-18,14,17,51.8,18.6,거,7,51.0,박성광,931,77.5
11433,신새벽,1:16.7,900,2017-11-11,6,18,51.4,19.2,거,7,51.0,박성광,736,76.7
11434,신새벽,1:18.1,900,2019-06-21,5,18,51.3,17.7,거,7,57.0,권진영,1359,78.1
11435,신새벽,1:18.7,900,2018-11-30,6,18,51.5,17.9,거,7,56.5,이소연,1826,78.7
11436,신새벽,1:16.3,900,2017-07-07,6,18,50.1,17.3,거,7,51.5,안득수,1065,76.3
11437,신새벽,1:17.7,900,2018-11-02,6,18,51.3,18.1,거,7,56.5,이소연,1191,77.7
11438,신새벽,1:17.3,900,2018-12-21,14,18,51.1,17.0,거,7,56.0,임재광,375,77.3
11439,신새벽,1:28.6,1000,2018-05-05,6,18,53.2,18.9,거,7,51.0,임재광,1199,88.6
11440,신새벽,1:28.6,1000,2019-04-13,6,18,53.4,18.3,거,7,51.0,임재광,869,88.6
11441,신새벽,1:28.4,1000,2019-05-17,4,18,53.3,18.6,거,7,52.5,임재광,881,88.4
